movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
Oppenheimer,2023,180,8.6,88        ,369868,
Spider-Man: Across the Spider-Verse,2023,140,8.8,86        ,232783,
Interstellar,2014,169,8.7,74        ,1971868,188.02
The Godfather,1972,175,9.2,100        ,1940948,134.97
The Dark Knight,2008,152,9.0,84        ,2766659,534.86
The Shawshank Redemption,1994,142,9.3,82        ,2787256,28.34
Inception,2010,148,8.8,74        ,2456411,292.58
Spider-Man: Into the Spider-Verse,2018,117,8.4,87        ,622611,190.24
Pulp Fiction,1994,154,8.9,95        ,2138263,107.93
The Prestige,2006,130,8.5,66        ,1389326,53.09
Oldboy,2003,120,8.4,77        ,606477,0.71
Inglourious Basterds,2009,153,8.3,69        ,1516892,120.54
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92        ,1937836,315.54
Goodfellas,1990,145,8.7,92        ,1209376,46.84
Joker,2019,122,8.4,59        ,1390038,335.45
Fight Club,1999,139,8.8,67        ,2221756,37.03
The Departed,2006,151,8.5,85        ,1374333,132.38
Gladiator,2000,155,8.5,67        ,1555532,187.71
Parasite,2019,132,8.5,96        ,880140,53.37
The Dark Knight Rises,2012,164,8.4,78        ,1768488,448.14
Django Unchained,2012,165,8.4,81        ,1626647,162.81
Avengers: Endgame,2019,181,8.4,78        ,1207160,858.37
Memento,2000,113,8.4,83        ,1281956,25.54
Schindler's List,1993,195,9.0,95        ,1402118,96.9
Back to the Future,1985,116,8.5,87        ,1257805,210.61
Forrest Gump,1994,142,8.8,82        ,2167902,330.25
The Godfather Part II,1974,202,9.0,90        ,1318942,57.3
Se7en,1995,127,8.6,65        ,1724997,100.13
Alien,1979,117,8.5,89        ,915301,78.9
Requiem for a Dream,2000,102,8.3,71        ,871547,3.64
The Silence of the Lambs,1991,118,8.6,86        ,1486924,130.74
The Shining,1980,146,8.4,66        ,1064436,44.02
Terminator 2: Judgment Day,1991,137,8.6,75        ,1137469,204.84
American Beauty,1999,122,8.3,84        ,1182794,130.1
The Matrix,1999,136,8.7,73        ,1982699,171.48
Whiplash,2014,106,8.5,89        ,925697,13.09
Good Will Hunting,1997,126,8.3,70        ,1018441,138.43
Saving Private Ryan,1998,169,8.6,91        ,1443677,216.54
L̩on: The Professional,1994,110,8.5,64        ,1204441,19.5
The Lord of the Rings: The Return of the King,2003,201,9.0,94        ,1909648,377.85
One Flew Over the Cuckoo's Nest,1975,133,8.7,84        ,1040086,112.0
Apocalypse Now,1979,147,8.4,94        ,689494,83.47
Aliens,1986,137,8.4,84        ,740572,85.16
12 Angry Men,1957,96,9.0,97        ,827735,4.36
Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85        ,1009398,248.16
2001: A Space Odyssey,1968,149,8.3,84        ,694801,56.95
The Green Mile,1999,189,8.6,61        ,1354669,136.8
Braveheart,1995,178,8.3,68        ,1065258,75.6
The Pianist,2002,150,8.5,85        ,872515,32.57
Avengers: Infinity War,2018,149,8.4,68        ,1148549,678.82
